stage,policy,cost,arm,period,arm_model_available,blocked.awaiting_strict_quality_return,blocked.causal_unavailable,blocked.filter_rejected,blocked.no_primary_signal,blocked.occupied_or_unresolved,capital_breach,cash,commission,conclusive_equity,conclusive_pnl,conclusive_unrealized,conditional_funding,conditional_scenario_not_lower_bound,counts.entries,counts.entry_cancelled_quality,counts.entry_expired,counts.exits,counts.integrity_events,counts.opportunities,counts.opportunity_causal_unavailable,counts.opportunity_model_unavailable,counts.p1_adverse_liquidation,counts.pending_entries,counts.stop,counts.take_profit,counts.unresolved_at_end,counts.unresolved_events,drawdown_fraction_initial,entries,exits,funding_if_still_open,funding_recorded,known_cash,last_known_equity,mark_count,mark_missing,max_dollar_drawdown,model_available,net_return,open_exposure_ms,opportunities,peak_notional,potential_exposure_unknown,profit_claim,realized_pnl,realized_recorded,recorded_cashflow,scenario_equity,scenario_pnl,scenario_unrealized,slippage_attribution_only,state,turnover_eur,turnover_usd,wall_exposure_ms
development,P0,S0,primary,TOTAL,True,,2769,,3215,274934,False,249996/25,0,,,,,False,2,,,1,5870,280920,154044,0,,2,1,,1,1,,,,0,0,249996/25,199997/20,356,191,,,,16496095908,,54599/50,False,False,-4/25,,,,,,0,ENDED,3000,327573/100,23238895908
development,P0,S0,primary,2023Q2,,,2769,,3215,87614,False,,0,,,,0,,,,,,,,,,,,,,,,,2,1,,0,,,,,,True,,5256895908,93600,,,,,-4/25,-4/25,,,,0,,3000,327573/100,7341295908
development,P0,S0,primary,2023Q3,,,,,,93600,False,,0,,,,0,,,,,,,,,,,,,,,,,0,0,,0,,,,,,True,,5616000000,93600,,,,,0,0,,,,0,,0,0,7948800000
development,P0,S0,primary,2023Q4,,,,,,93720,False,,0,,,,0,,,,,,,,,,,,,,,,,0,0,,0,,,,,,True,,5623200000,93720,,,,,0,0,,,,0,,0,0,7948800000
development,P0,S0,filtered,TOTAL,True,656,59925,126220,94119,,False,10000,0,10000,0,0,,False,,,,,9028,280920,154044,0,,,,,0,,0,,,0,0,10000,10000,0,0,0,,0,0,,0,False,False,0,,,10000,0,0,0,ENDED,0,0,0
development,P0,S0,filtered,2023Q2,,14,28473,17,65096,,False,,0,,0,,0,,,,,,,,,,,,,,,,,0,0,,0,,,,,0,True,,0,93600,,,,,0,0,,0,,0,,0,0,0
development,P0,S0,filtered,2023Q3,,335,20666,48921,23678,,False,,0,,0,,0,,,,,,,,,,,,,,,,,0,0,,0,,,,,0,True,,0,93600,,,,,0,0,,0,,0,,0,0,0
development,P0,S0,filtered,2023Q4,,307,10786,77282,5345,,False,,0,,0,,0,,,,,,,,,,,,,,,,,0,0,,0,,,,,0,True,,0,93720,,,,,0,0,,0,,0,,0,0,0
development,P0,S1,primary,TOTAL,True,,2769,,3215,274934,False,399989/40,21/200,,,,,False,2,,,1,5870,280920,154044,0,,2,1,,1,1,,,,14577399/365000,14577399/365000,249994/25,399989/40,354,191,,,,16496095550,,109199/100,False,False,-17/100,,,,,,3/100,ENDED,3000,13103/4,23238895550
development,P0,S1,primary,2023Q2,,,2769,,3215,87614,False,,21/200,,,,928149/73000,,,,,,,,,,,,,,,,,2,1,,928149/73000,,,,,,True,,5256895550,93600,,,,,-17/100,-11/40,,,,3/100,,3000,13103/4,7341295550
development,P0,S1,primary,2023Q3,,,,,,93600,False,,0,,,,4968327/365000,,,,,,,,,,,,,,,,,0,0,,4968327/365000,,,,,,True,,5616000000,93600,,,,,0,0,,,,0,,0,0,7948800000
development,P0,S1,primary,2023Q4,,,,,,93720,False,,0,,,,4968327/365000,,,,,,,,,,,,,,,,,0,0,,4968327/365000,,,,,,True,,5623200000,93720,,,,,0,0,,,,0,,0,0,7948800000
development,P0,S1,filtered,TOTAL,True,656,59925,126220,94119,,False,10000,0,10000,0,0,,False,,,,,9028,280920,154044,0,,,,,0,,0,,,0,0,10000,10000,0,0,0,,0,0,,0,False,False,0,,,10000,0,0,0,ENDED,0,0,0
development,P0,S1,filtered,2023Q2,,14,28473,17,65096,,False,,0,,0,,0,,,,,,,,,,,,,,,,,0,0,,0,,,,,0,True,,0,93600,,,,,0,0,,0,,0,,0,0,0
development,P0,S1,filtered,2023Q3,,335,20666,48921,23678,,False,,0,,0,,0,,,,,,,,,,,,,,,,,0,0,,0,,,,,0,True,,0,93600,,,,,0,0,,0,,0,,0,0,0
development,P0,S1,filtered,2023Q4,,307,10786,77282,5345,,False,,0,,0,,0,,,,,,,,,,,,,,,,,0,0,,0,,,,,0,True,,0,93720,,,,,0,0,,0,,0,,0,0,0
development,P0,S2,primary,TOTAL,True,,2769,,3215,274934,False,499979/50,21/100,,,,,False,2,,,1,5870,280920,154044,0,,2,1,,1,1,,,,3644283/45625,3644283/45625,199993/20,49998/5,358,191,,,,16496105844,,109203/100,False,False,-21/100,,,,,,3/20,ENDED,3000,327577/100,23238905844
development,P0,S2,primary,2023Q2,,,2769,,3215,87614,False,,21/100,,,,232033/9125,,,,,,,,,,,,,,,,,2,1,,232033/9125,,,,,,True,,5256905844,93600,,,,,-21/100,-21/50,,,,3/20,,3000,327577/100,7341305844
development,P0,S2,primary,2023Q3,,,,,,93600,False,,0,,,,1242059/45625,,,,,,,,,,,,,,,,,0,0,,1242059/45625,,,,,,True,,5616000000,93600,,,,,0,0,,,,0,,0,0,7948800000
development,P0,S2,primary,2023Q4,,,,,,93720,False,,0,,,,1242059/45625,,,,,,,,,,,,,,,,,0,0,,1242059/45625,,,,,,True,,5623200000,93720,,,,,0,0,,,,0,,0,0,7948800000
development,P0,S2,filtered,TOTAL,True,656,59925,126220,94119,,False,10000,0,10000,0,0,,False,,,,,9028,280920,154044,0,,,,,0,,0,,,0,0,10000,10000,0,0,0,,0,0,,0,False,False,0,,,10000,0,0,0,ENDED,0,0,0
development,P0,S2,filtered,2023Q2,,14,28473,17,65096,,False,,0,,0,,0,,,,,,,,,,,,,,,,,0,0,,0,,,,,0,True,,0,93600,,,,,0,0,,0,,0,,0,0,0
development,P0,S2,filtered,2023Q3,,335,20666,48921,23678,,False,,0,,0,,0,,,,,,,,,,,,,,,,,0,0,,0,,,,,0,True,,0,93600,,,,,0,0,,0,,0,,0,0,0
development,P0,S2,filtered,2023Q4,,307,10786,77282,5345,,False,,0,,0,,0,,,,,,,,,,,,,,,,,0,0,,0,,,,,0,True,,0,93720,,,,,0,0,,0,,0,,0,0,0
development,P1,S0,primary,TOTAL,True,95,59911,,91405,125983,False,386250688316825185283/40000000000000000,0,,,,,True,3240,80,206,3240,9028,280920,154044,0,1106,3526,1728,406,0,1106,,,,0,0,249996/25,199997/20,8593053,2,,,,7632627732,,5524/5,False,False,-13749311683174814717/40000000000000000,,,386250688316825185283/40000000000000000,-13749311683174814717/40000000000000000,0,0,ENDED,6480000,55823006140072182876937/8000000000000000,11437827732
development,P1,S0,primary,2023Q2,,,28473,,63846,1279,False,,0,,,,0,,,,,,,,,,,,,,,,,2,2,,0,,,,,,True,,76737504,93600,,,,,-229/100,-229/100,,-229/100,,0,,4000,436553/100,249537504
development,P1,S0,primary,2023Q3,,54,20666,,22953,48485,False,,0,,,,0,,,,,,,,,,,,,,,,,1302,1301,,0,,,,,,True,,2938278234,93600,,,,,-1143403602684567697/8000000000000000,-1143403602684567697/8000000000000000,,-1133083602684567697/8000000000000000,,0,,2603000,22483517907901386328381/8000000000000000,4417878234
development,P1,S0,primary,2023Q4,,41,10772,,4606,76219,False,,0,,,,0,,,,,,,,,,,,,,,,,1936,1937,,0,,,,,,True,,4617611994,93720,,,,,-992586708718997029/5000000000000000,-992586708718997029/5000000000000000,,-999036708718997029/5000000000000000,,0,,3873000,8326140998042699137139/2000000000000000,6770411994
development,P1,S0,filtered,TOTAL,True,656,59925,126220,94119,,False,10000,0,10000,0,0,,True,,,,,9028,280920,154044,0,,,,,0,,0,,,0,0,10000,10000,0,0,0,,0,0,,0,False,False,0,,,10000,0,0,0,ENDED,0,0,0
development,P1,S0,filtered,2023Q2,,14,28473,17,65096,,False,,0,,0,,0,,,,,,,,,,,,,,,,,0,0,,0,,,,,0,True,,0,93600,,,,,0,0,,0,,0,,0,0,0
