fold,phase,population,openings,causal_opportunities,metric_rows,metric_positive,model,policy_available,accepted_operational,rejected_operational,unavailable_operational,precision,recall,f1,accepted_metric,threshold,selection_reason,probabilities,fit_status,fit_reused,fit_id,train_rows,train_positive,log_loss,brier,average_precision,roc_auc
2023Q2,inner,temporal,80339,46751,46240,12801,primary,True,46751,0,33588,0.27683823529411766,1.0,0.43363086668586237,46240,,,,,,,,,,,,
2023Q2,inner,temporal,80339,46751,46240,12801,constant,True,0,46751,33588,,0.0,0.0,0,0.5,,46751,succeeded,False,2023Q2:inner:temporal:constant,303616,81786,0.5902531518008005,0.20032120172570916,0.27683823529411766,0.5
2023Q2,inner,temporal,80339,46751,46240,12801,logistic,True,8365,38386,33588,0.2978086456711771,0.194281696742442,0.23515506807866868,8351,0.3,,46751,succeeded,False,2023Q2:inner:temporal:logistic,303616,81786,0.5961647032071494,0.20235663323834116,0.28441707603500754,0.4855950835523292
2023Q2,inner,0.0005,80339,3679,3636,1053,primary,True,3679,0,76660,0.2896039603960396,1.0,0.4491362763915547,3636,,,,,,,,,,,,
2023Q2,inner,0.0005,80339,3679,3636,1053,constant,True,0,3679,76660,,0.0,0.0,0,0.5,,3679,succeeded,False,2023Q2:inner:0.0005:constant,28987,7933,0.6029907591212215,0.20620957613709834,0.2896039603960396,0.5
2023Q2,inner,0.0005,80339,3679,3636,1053,logistic,True,591,3088,76660,0.311336717428088,0.17473884140550808,0.22384428223844283,591,0.3,,3679,succeeded,False,2023Q2:inner:0.0005:logistic,28987,7933,0.6095671471910772,0.20847254502827695,0.2917351166541349,0.48850122743528346
2023Q2,inner,0.001,80339,1294,1280,350,primary,True,1294,0,79045,0.2734375,1.0,0.4294478527607362,1280,,,,,,,,,,,,
2023Q2,inner,0.001,80339,1294,1280,350,constant,True,0,1294,79045,,0.0,0.0,0,0.5,,1294,succeeded,False,2023Q2:inner:0.001:constant,10297,2785,0.5869657914047444,0.1987935372257095,0.2734375,0.5
2023Q2,inner,0.001,80339,1294,1280,350,logistic,True,171,1123,79045,0.2573099415204678,0.12571428571428572,0.1689059500959693,171,0.3,,1294,succeeded,False,2023Q2:inner:0.001:logistic,10297,2785,0.593564123864686,0.20108974759965298,0.26891674744085364,0.49252534562211975
2023Q2,refit,temporal,64941,16,3,0,primary,True,16,0,64925,0.0,,0.0,3,,,,,,,,,,,,
2023Q2,refit,temporal,64941,16,3,0,constant,True,0,16,64925,,,,0,0.5,,16,succeeded,False,2023Q2:refit:temporal:constant,355996,96348,0.3087950648909603,0.07057988745727319,,
2023Q2,refit,temporal,64941,16,3,0,logistic,True,0,16,64925,,,,0,0.3,,16,succeeded,False,2023Q2:refit:temporal:logistic,355996,96348,0.23190333977423883,0.04285210533275757,,
2023Q2,refit,0.0005,64941,0,0,0,primary,True,0,0,64941,,,,0,,,,,,,,,,,,
2023Q2,refit,0.0005,64941,0,0,0,constant,True,0,0,64941,,,,0,0.5,,0,succeeded,False,2023Q2:refit:0.0005:constant,33012,9070,,,,
2023Q2,refit,0.0005,64941,0,0,0,logistic,True,0,0,64941,,,,0,0.3,,0,succeeded,False,2023Q2:refit:0.0005:logistic,33012,9070,,,,
2023Q2,refit,0.001,64941,0,0,0,primary,True,0,0,64941,,,,0,,,,,,,,,,,,
2023Q2,refit,0.001,64941,0,0,0,constant,True,0,0,64941,,,,0,0.5,,0,succeeded,False,2023Q2:refit:0.001:constant,11716,3162,,,,
2023Q2,refit,0.001,64941,0,0,0,logistic,True,0,0,64941,,,,0,0.3,,0,succeeded,False,2023Q2:refit:0.001:logistic,11716,3162,,,,
2023Q3,inner,temporal,64941,16,3,0,primary,True,16,0,64925,0.0,,0.0,3,,,,,,,,,,,,
2023Q3,inner,temporal,64941,16,3,0,constant,False,,,64941,,,,,,no_validation_positives,16,succeeded,True,2023Q2:refit:temporal:constant,355996,96348,0.3087950648909603,0.07057988745727319,,
2023Q3,inner,temporal,64941,16,3,0,logistic,False,,,64941,,,,,,no_validation_positives,16,succeeded,True,2023Q2:refit:temporal:logistic,355996,96348,0.23190333977423883,0.04285210533275757,,
2023Q3,inner,0.0005,64941,0,0,0,primary,True,0,0,64941,,,,0,,,,,,,,,,,,
2023Q3,inner,0.0005,64941,0,0,0,constant,False,,,64941,,,,,,empty_validation,0,succeeded,True,2023Q2:refit:0.0005:constant,33012,9070,,,,
2023Q3,inner,0.0005,64941,0,0,0,logistic,False,,,64941,,,,,,empty_validation,0,succeeded,True,2023Q2:refit:0.0005:logistic,33012,9070,,,,
2023Q3,inner,0.001,64941,0,0,0,primary,True,0,0,64941,,,,0,,,,,,,,,,,,
2023Q3,inner,0.001,64941,0,0,0,constant,False,,,64941,,,,,,empty_validation,0,succeeded,True,2023Q2:refit:0.001:constant,11716,3162,,,,
2023Q3,inner,0.001,64941,0,0,0,logistic,False,,,64941,,,,,,empty_validation,0,succeeded,True,2023Q2:refit:0.001:logistic,11716,3162,,,,
2023Q3,refit,temporal,84025,48913,42201,11450,primary,True,48913,0,35112,0.27132058482026494,1.0,0.4268326778624816,42201,,,,,,,,,,,,
2023Q3,refit,temporal,84025,48913,42201,11450,constant,False,,,84025,,,,,,no_validation_positives,48913,succeeded,False,2023Q3:refit:temporal:constant,355999,96348,0.5846528351961348,0.19773900583404405,0.27132058482026494,0.5
2023Q3,refit,temporal,84025,48913,42201,11450,logistic,False,,,84025,,,,,,no_validation_positives,48913,succeeded,False,2023Q3:refit:temporal:logistic,355999,96348,0.581848847147821,0.1966305512506539,0.3022100443762341,0.5503651686550045
2023Q3,refit,0.0005,84025,2609,2174,574,primary,True,2609,0,81416,0.2640294388224471,1.0,0.4177583697234352,2174,,,,,,,,,,,,
2023Q3,refit,0.0005,84025,2609,2174,574,constant,False,,,84025,,,,,,empty_validation,2609,succeeded,True,2023Q2:refit:0.0005:constant,33012,9070,0.5772563146898553,0.1943283582636157,0.2640294388224471,0.5
2023Q3,refit,0.0005,84025,2609,2174,574,logistic,False,,,84025,,,,,,empty_validation,2609,succeeded,True,2023Q2:refit:0.0005:logistic,33012,9070,0.5731938980463053,0.19274563006563253,0.304948420379744,0.5703712979094077
2023Q3,refit,0.001,84025,857,714,192,primary,True,857,0,83168,0.2689075630252101,1.0,0.423841059602649,714,,,,,,,,,,,,
2023Q3,refit,0.001,84025,857,714,192,constant,False,,,84025,,,,,,empty_validation,857,succeeded,True,2023Q2:refit:0.001:constant,11716,3162,0.5823498544807839,0.19666635294229584,0.2689075630252101,0.5
2023Q3,refit,0.001,84025,857,714,192,logistic,False,,,84025,,,,,,empty_validation,857,succeeded,True,2023Q2:refit:0.001:logistic,11716,3162,0.5789624945293183,0.19535574450518914,0.30595116644757814,0.5653436302681992
2023Q4,inner,temporal,84025,48913,42201,11450,primary,True,48913,0,35112,0.27132058482026494,1.0,0.4268326778624816,42201,,,,,,,,,,,,
2023Q4,inner,temporal,84025,48913,42201,11450,constant,True,0,48913,35112,,0.0,0.0,0,0.5,,48913,succeeded,True,2023Q3:refit:temporal:constant,355999,96348,0.5846528351961348,0.19773900583404405,0.27132058482026494,0.5
2023Q4,inner,temporal,84025,48913,42201,11450,logistic,True,9292,39621,35112,0.3335666783339167,0.2496943231441048,0.28560011987413214,8571,0.3,,48913,succeeded,True,2023Q3:refit:temporal:logistic,355999,96348,0.581848847147821,0.1966305512506539,0.3022100443762341,0.5503651686550045
2023Q4,inner,0.0005,84025,2609,2174,574,primary,True,2609,0,81416,0.2640294388224471,1.0,0.4177583697234352,2174,,,,,,,,,,,,
2023Q4,inner,0.0005,84025,2609,2174,574,constant,True,0,2609,81416,,0.0,0.0,0,0.5,,2609,succeeded,True,2023Q2:refit:0.0005:constant,33012,9070,0.5772563146898553,0.1943283582636157,0.2640294388224471,0.5
2023Q4,inner,0.0005,84025,2609,2174,574,logistic,True,393,2216,81416,0.3388888888888889,0.21254355400696864,0.26124197002141325,360,0.3,,2609,succeeded,True,2023Q2:refit:0.0005:logistic,33012,9070,0.5731938980463053,0.19274563006563253,0.304948420379744,0.5703712979094077
2023Q4,inner,0.001,84025,857,714,192,primary,True,857,0,83168,0.2689075630252101,1.0,0.423841059602649,714,,,,,,,,,,,,
2023Q4,inner,0.001,84025,857,714,192,constant,True,0,857,83168,,0.0,0.0,0,0.5,,857,succeeded,True,2023Q2:refit:0.001:constant,11716,3162,0.5823498544807839,0.19666635294229584,0.2689075630252101,0.5
2023Q4,inner,0.001,84025,857,714,192,logistic,True,60,797,83168,0.3076923076923077,0.08333333333333333,0.13114754098360656,52,0.3,,857,succeeded,True,2023Q2:refit:0.001:logistic,11716,3162,0.5789624945293183,0.19535574450518914,0.30595116644757814,0.5653436302681992
2023Q4,refit,temporal,91894,81780,76144,20386,primary,True,81780,0,10114,0.26772956503467116,1.0,0.4223764632756656,76144,,,,,,,,,,,,
2023Q4,refit,temporal,91894,81780,76144,20386,constant,True,0,81780,10114,,0.0,0.0,0,0.5,,81780,succeeded,False,2023Q4:refit:temporal:constant,397760,107586,0.5810508201150554,0.19607507099303878,0.26772956503467116,0.5
