fold,phase,population,model,threshold,rows,positive,negative,accepted,rejected,tp,fp,fn,tn,precision,recall,f1
2023Q2,inner,temporal,constant,0.3,46240,12801,33439,0,46240,0,0,12801,33439,,0.0,0.0
2023Q2,inner,temporal,constant,0.4,46240,12801,33439,0,46240,0,0,12801,33439,,0.0,0.0
2023Q2,inner,temporal,constant,0.5,46240,12801,33439,0,46240,0,0,12801,33439,,0.0,0.0
2023Q2,inner,temporal,logistic,0.3,46240,12801,33439,8351,37889,2487,5864,10314,27575,0.2978086456711771,0.194281696742442,0.23515506807866868
2023Q2,inner,temporal,logistic,0.4,46240,12801,33439,1,46239,0,1,12801,33438,0.0,0.0,0.0
2023Q2,inner,temporal,logistic,0.5,46240,12801,33439,0,46240,0,0,12801,33439,,0.0,0.0
2023Q2,inner,0.0005,constant,0.3,3636,1053,2583,0,3636,0,0,1053,2583,,0.0,0.0
2023Q2,inner,0.0005,constant,0.4,3636,1053,2583,0,3636,0,0,1053,2583,,0.0,0.0
2023Q2,inner,0.0005,constant,0.5,3636,1053,2583,0,3636,0,0,1053,2583,,0.0,0.0
2023Q2,inner,0.0005,logistic,0.3,3636,1053,2583,591,3045,184,407,869,2176,0.311336717428088,0.17473884140550808,0.22384428223844283
2023Q2,inner,0.0005,logistic,0.4,3636,1053,2583,1,3635,0,1,1053,2582,0.0,0.0,0.0
2023Q2,inner,0.0005,logistic,0.5,3636,1053,2583,0,3636,0,0,1053,2583,,0.0,0.0
2023Q2,inner,0.001,constant,0.3,1280,350,930,0,1280,0,0,350,930,,0.0,0.0
2023Q2,inner,0.001,constant,0.4,1280,350,930,0,1280,0,0,350,930,,0.0,0.0
2023Q2,inner,0.001,constant,0.5,1280,350,930,0,1280,0,0,350,930,,0.0,0.0
2023Q2,inner,0.001,logistic,0.3,1280,350,930,171,1109,44,127,306,803,0.2573099415204678,0.12571428571428572,0.1689059500959693
2023Q2,inner,0.001,logistic,0.4,1280,350,930,0,1280,0,0,350,930,,0.0,0.0
2023Q2,inner,0.001,logistic,0.5,1280,350,930,0,1280,0,0,350,930,,0.0,0.0
2023Q2,refit,temporal,constant,0.3,3,0,3,0,3,0,0,0,3,,,
2023Q2,refit,temporal,constant,0.4,3,0,3,0,3,0,0,0,3,,,
2023Q2,refit,temporal,constant,0.5,3,0,3,0,3,0,0,0,3,,,
2023Q2,refit,temporal,logistic,0.3,3,0,3,0,3,0,0,0,3,,,
2023Q2,refit,temporal,logistic,0.4,3,0,3,0,3,0,0,0,3,,,
2023Q2,refit,temporal,logistic,0.5,3,0,3,0,3,0,0,0,3,,,
2023Q2,refit,0.0005,constant,0.3,0,0,0,0,0,0,0,0,0,,,
2023Q2,refit,0.0005,constant,0.4,0,0,0,0,0,0,0,0,0,,,
2023Q2,refit,0.0005,constant,0.5,0,0,0,0,0,0,0,0,0,,,
2023Q2,refit,0.0005,logistic,0.3,0,0,0,0,0,0,0,0,0,,,
2023Q2,refit,0.0005,logistic,0.4,0,0,0,0,0,0,0,0,0,,,
2023Q2,refit,0.0005,logistic,0.5,0,0,0,0,0,0,0,0,0,,,
