task,fold,phase,population,partition,group,candidates,causally_eligible,retained,positive,negative,prevalence,censored,ambiguous,boundary,causally_ineligible,sigma_mean,tp_pips_mean,sl_pips_mean,tp_duration_open_mean,sl_duration_open_mean,timeout_duration_open_mean,regime_low_cut,regime_high_cut
fixed,2023Q2,inner,temporal,training,all,729406,627652,601046,170496,430550,0.2836654765192681,26605,0,1,101754,0.0010118158409039748,50.0,20.0,642.6364078922672,380.51494062105564,4320.0,0.0006147616437218142,0.0010795938224566098
fixed,2023Q2,inner,temporal,training,ineligible,101754,0,0,0,0,,0,0,0,101754,,,,,,,0.0006147616437218142,0.0010795938224566098
fixed,2023Q2,inner,temporal,training,low,209218,209218,203793,59391,144402,0.2914280667147547,5425,0,0,0,0.000425142223845051,50.0,20.0,766.5048576383628,462.3326352724171,4320.0,0.0006147616437218142,0.0010795938224566098
fixed,2023Q2,inner,temporal,training,middle,209218,209218,200662,58325,142337,0.29066290578186205,8556,0,0,0,0.0008255499374875495,50.0,20.0,639.6893270467209,386.4237806593159,4320.0,0.0006147616437218142,0.0010795938224566098
fixed,2023Q2,inner,temporal,training,high,209216,209216,196591,52780,143811,0.2684761764272017,12624,0,1,0,0.0017847627502933694,50.0,20.0,506.50941644562334,292.6125561598487,4320.0,0.0006147616437218142,0.0010795938224566098
fixed,2023Q2,inner,temporal,evaluation,all,154608,94074,91645,26061,65584,0.2843690326804517,2429,0,0,60534,0.0008578587466651544,50.0,20.0,819.3385902306128,417.27863503293486,,0.0006147616437218142,0.0010795938224566098
fixed,2023Q2,inner,temporal,evaluation,ineligible,60534,0,0,0,0,,0,0,0,60534,,,,,,,0.0006147616437218142,0.0010795938224566098
fixed,2023Q2,inner,temporal,evaluation,low,40078,40078,38944,11125,27819,0.2856665981922761,1134,0,0,0,0.0004297351666293669,50.0,20.0,832.798202247191,417.07006003091414,,0.0006147616437218142,0.0010795938224566098
fixed,2023Q2,inner,temporal,evaluation,middle,31828,31828,31001,8896,22105,0.2869584852101545,827,0,0,0,0.0008090744164062694,50.0,20.0,820.6360161870504,415.2046595792807,,0.0006147616437218142,0.0010795938224566098
fixed,2023Q2,inner,temporal,evaluation,high,22168,22168,21700,6040,15660,0.2783410138248848,468,0,0,0,0.001701915247213426,50.0,20.0,792.6365894039735,420.5766922094508,,0.0006147616437218142,0.0010795938224566098
fixed,2023Q2,inner,0.0005,training,all,68696,60056,57702,16272,41430,0.2820006238951856,2354,0,0,8640,0.0013752047151324909,50.0,20.0,516.7035398230089,290.57906302825404,4320.0,0.0008753988868057595,0.0014883154632853474
fixed,2023Q2,inner,0.0005,training,ineligible,8640,0,0,0,0,,0,0,0,8640,,,,,,,0.0008753988868057595,0.0014883154632853474
fixed,2023Q2,inner,0.0005,training,low,20020,20020,19486,5755,13731,0.29534024427794314,534,0,0,0,0.0006161538771045712,50.0,20.0,616.7198957428324,367.53826530612247,4320.0,0.0008753988868057595,0.0014883154632853474
fixed,2023Q2,inner,0.0005,training,middle,20018,20018,19135,5398,13737,0.28210086229422526,883,0,0,0,0.001147994794910199,50.0,20.0,529.737495368655,284.6906270482849,4320.0,0.0008753988868057595,0.0014883154632853474
fixed,2023Q2,inner,0.0005,training,high,20018,20018,19081,5119,13962,0.26827734395471936,937,0,0,0,0.002361541310213358,50.0,20.0,390.51650713029886,220.7297800702056,4320.0,0.0008753988868057595,0.0014883154632853474
fixed,2023Q2,inner,0.0005,evaluation,all,11420,7384,7246,2063,5183,0.2847088048578526,138,0,0,4036,0.0011498066071398685,50.0,20.0,721.6669898206495,353.638240401312,,0.0008753988868057595,0.0014883154632853474
fixed,2023Q2,inner,0.0005,evaluation,ineligible,4036,0,0,0,0,,0,0,0,4036,,,,,,,0.0008753988868057595,0.0014883154632853474
fixed,2023Q2,inner,0.0005,evaluation,low,3490,3490,3417,996,2421,0.2914837576821773,73,0,0,0,0.0005921823217855835,50.0,20.0,696.9036144578313,354.55431639818255,,0.0008753988868057595,0.0014883154632853474
fixed,2023Q2,inner,0.0005,evaluation,middle,2086,2086,2051,582,1469,0.2837640175524135,35,0,0,0,0.001132954134946767,50.0,20.0,783.9278350515464,372.99659632402995,,0.0008753988868057595,0.0014883154632853474
fixed,2023Q2,inner,0.0005,evaluation,high,1808,1808,1778,485,1293,0.2727784026996625,30,0,0,0,0.0022456379195741954,50.0,20.0,697.8082474226804,329.9296210363496,,0.0008753988868057595,0.0014883154632853474
fixed,2023Q2,inner,0.001,training,all,24254,21316,20511,5773,14738,0.28145872946223977,805,0,0,2938,0.0014539683457248623,50.0,20.0,496.8747618222761,273.48750848608285,4320.0,0.0009230957304622377,0.0015699329247801188
fixed,2023Q2,inner,0.001,training,ineligible,2938,0,0,0,0,,0,0,0,2938,,,,,,,0.0009230957304622377,0.0015699329247801188
fixed,2023Q2,inner,0.001,training,low,7106,7106,6918,2060,4858,0.2977739230991616,188,0,0,0,0.0006520132230214248,50.0,20.0,606.3354368932039,343.3785287451061,4320.0,0.0009230957304622377,0.0015699329247801188
fixed,2023Q2,inner,0.001,training,middle,7106,7106,6792,1884,4908,0.2773851590106007,314,0,0,0,0.0012138872870858016,50.0,20.0,514.9984076433121,273.6033007334963,,0.0009230957304622377,0.0015699329247801188
fixed,2023Q2,inner,0.001,training,high,7104,7104,6801,1829,4972,0.2689310395530069,303,0,0,0,0.0024962978931094048,50.0,20.0,354.9207217058502,205.11370497081907,4320.0,0.0009230957304622377,0.0015699329247801188
fixed,2023Q2,inner,0.001,evaluation,all,3852,2588,2537,714,1823,0.28143476547102875,51,0,0,1264,0.001216640127632259,50.0,20.0,680.8641456582633,346.7153044432255,,0.0009230957304622377,0.0015699329247801188
fixed,2023Q2,inner,0.001,evaluation,ineligible,1264,0,0,0,0,,0,0,0,1264,,,,,,,0.0009230957304622377,0.0015699329247801188
fixed,2023Q2,inner,0.001,evaluation,low,1220,1220,1191,345,846,0.28967254408060455,29,0,0,0,0.0006235518416881094,50.0,20.0,664.4289855072464,347.00354609929076,,0.0009230957304622377,0.0015699329247801188
fixed,2023Q2,inner,0.001,evaluation,middle,734,734,725,200,525,0.27586206896551724,9,0,0,0,0.0012011241486733,50.0,20.0,739.33,373.0933333333333,,0.0009230957304622377,0.0015699329247801188
fixed,2023Q2,inner,0.001,evaluation,high,634,634,621,169,452,0.2721417069243156,13,0,0,0,0.002375877410609765,50.0,20.0,645.2248520710059,315.53761061946904,,0.0009230957304622377,0.0015699329247801188
fixed,2023Q2,refit,temporal,training,all,892586,734096,704564,198619,505945,0.2819034182842155,29531,0,1,158490,0.000986683547684069,50.0,20.0,668.9049889486907,389.2760559145655,4320.0,0.0005987847677231071,0.0010496957282979185
fixed,2023Q2,refit,temporal,training,ineligible,158490,0,0,0,0,,0,0,0,158490,,,,,,,0.0005987847677231071,0.0010496957282979185
fixed,2023Q2,refit,temporal,training,low,244700,244700,238431,68319,170112,0.2865357273173371,6269,0,0,0,0.00041786521090911224,50.0,20.0,780.0373541767298,464.4359389345324,4320.0,0.0005987847677231071,0.0010496957282979185
fixed,2023Q2,refit,temporal,training,middle,244698,244698,235155,68174,166981,0.28991090982543427,9543,0,0,0,0.0008015002953725773,50.0,20.0,672.7319799336991,394.16965500704373,4320.0,0.0005987847677231071,0.0010496957282979185
fixed,2023Q2,refit,temporal,training,high,244698,244698,230978,62126,168852,0.26896933907125353,13719,0,1,0,0.001740689785916295,50.0,20.0,542.4948974664392,308.79560612701835,4320.0,0.0005987847677231071,0.0010496957282979185
fixed,2023Q2,refit,temporal,evaluation,all,123894,32,0,0,0,,32,0,0,123862,0.00020666601094911473,50.0,20.0,,,,0.0005987847677231071,0.0010496957282979185
fixed,2023Q2,refit,temporal,evaluation,ineligible,123862,0,0,0,0,,0,0,0,123862,,,,,,,0.0005987847677231071,0.0010496957282979185
fixed,2023Q2,refit,temporal,evaluation,low,32,32,0,0,0,,32,0,0,0,0.00020666601094911473,50.0,20.0,,,,0.0005987847677231071,0.0010496957282979185
fixed,2023Q2,refit,temporal,evaluation,middle,0,0,0,0,0,,0,0,0,0,,,,,,,0.0005987847677231071,0.0010496957282979185
fixed,2023Q2,refit,temporal,evaluation,high,0,0,0,0,0,,0,0,0,0,,,,,,,0.0005987847677231071,0.0010496957282979185
fixed,2023Q2,refit,0.0005,training,all,80680,68220,65678,18475,47203,0.28129662900819147,2542,0,0,12460,0.0013448542686780092,50.0,20.0,542.8728552097429,299.55869947648415,4320.0,0.0008507340054231317,0.0014555693782364336
fixed,2023Q2,refit,0.0005,training,ineligible,12460,0,0,0,0,,0,0,0,12460,,,,,,,0.0008507340054231317,0.0014555693782364336
fixed,2023Q2,refit,0.0005,training,low,22740,22740,22160,6494,15666,0.2930505415162455,580,0,0,0,0.0005980741446049976,50.0,20.0,632.3042808746535,370.58189600102213,4320.0,0.0008507340054231317,0.0014555693782364336
fixed,2023Q2,refit,0.0005,training,middle,22740,22740,21794,6136,15658,0.2815453794622373,946,0,0,0,0.0011190588555323995,50.0,20.0,561.2439700130378,297.35013737141395,4320.0,0.0008507340054231317,0.0014555693782364336
fixed,2023Q2,refit,0.0005,training,high,22740,22740,21724,5845,15879,0.26905726385564355,1016,0,0,0,0.00231742980589663,50.0,20.0,424.2256629597947,231.70590828924162,4320.0,0.0008507340054231317,0.0014555693782364336
fixed,2023Q2,refit,0.0005,evaluation,all,5690,0,0,0,0,,0,0,0,5690,,,,,,,0.0008507340054231317,0.0014555693782364336
fixed,2023Q2,refit,0.0005,evaluation,ineligible,5690,0,0,0,0,,0,0,0,5690,,,,,,,0.0008507340054231317,0.0014555693782364336
fixed,2023Q2,refit,0.0005,evaluation,low,0,0,0,0,0,,0,0,0,0,,,,,,,0.0008507340054231317,0.0014555693782364336
fixed,2023Q2,refit,0.0005,evaluation,middle,0,0,0,0,0,,0,0,0,0,,,,,,,0.0008507340054231317,0.0014555693782364336
fixed,2023Q2,refit,0.0005,evaluation,high,0,0,0,0,0,,0,0,0,0,,,,,,,0.0008507340054231317,0.0014555693782364336
fixed,2023Q2,refit,0.001,training,all,28326,24182,23310,6534,16776,0.2803088803088803,872,0,0,4144,0.0014223050045982296,50.0,20.0,520.2959902050811,283.5740696564886,4320.0,0.0008956672646796346,0.0015428735188964418
fixed,2023Q2,refit,0.001,training,ineligible,4144,0,0,0,0,,0,0,0,4144,,,,,,,0.0008956672646796346,0.0015428735188964418
fixed,2023Q2,refit,0.001,training,low,8062,8062,7852,2321,5531,0.2955934793683138,210,0,0,0,0.0006332118202040678,50.0,20.0,619.9685480396381,352.52225841476655,4320.0,0.0008956672646796346,0.0015428735188964418
fixed,2023Q2,refit,0.001,training,middle,8060,8060,7737,2133,5604,0.2756882512601784,323,0,0,0,0.001183786478522268,50.0,20.0,544.2409751523676,284.00428265524624,,0.0008956672646796346,0.0015428735188964418
fixed,2023Q2,refit,0.001,training,high,8060,8060,7721,2080,5641,0.26939515606786685,339,0,0,0,0.002450112519828748,50.0,20.0,384.51971153846154,215.5679318907414,4320.0,0.0008956672646796346,0.0015428735188964418
fixed,2023Q2,refit,0.001,evaluation,all,1682,0,0,0,0,,0,0,0,1682,,,,,,,0.0008956672646796346,0.0015428735188964418
fixed,2023Q2,refit,0.001,evaluation,ineligible,1682,0,0,0,0,,0,0,0,1682,,,,,,,0.0008956672646796346,0.0015428735188964418
fixed,2023Q2,refit,0.001,evaluation,low,0,0,0,0,0,,0,0,0,0,,,,,,,0.0008956672646796346,0.0015428735188964418
fixed,2023Q2,refit,0.001,evaluation,middle,0,0,0,0,0,,0,0,0,0,,,,,,,0.0008956672646796346,0.0015428735188964418
fixed,2023Q2,refit,0.001,evaluation,high,0,0,0,0,0,,0,0,0,0,,,,,,,0.0008956672646796346,0.0015428735188964418
fixed,2023Q3,inner,temporal,training,all,892586,734096,704564,198619,505945,0.2819034182842155,29531,0,1,158490,0.000986683547684069,50.0,20.0,668.9049889486907,389.2760559145655,4320.0,0.0005987847677231071,0.0010496957282979185
fixed,2023Q3,inner,temporal,training,ineligible,158490,0,0,0,0,,0,0,0,158490,,,,,,,0.0005987847677231071,0.0010496957282979185
fixed,2023Q3,inner,temporal,training,low,244700,244700,238431,68319,170112,0.2865357273173371,6269,0,0,0,0.00041786521090911224,50.0,20.0,780.0373541767298,464.4359389345324,4320.0,0.0005987847677231071,0.0010496957282979185
fixed,2023Q3,inner,temporal,training,middle,244698,244698,235155,68174,166981,0.28991090982543427,9543,0,0,0,0.0008015002953725773,50.0,20.0,672.7319799336991,394.16965500704373,4320.0,0.0005987847677231071,0.0010496957282979185
fixed,2023Q3,inner,temporal,training,high,244698,244698,230978,62126,168852,0.26896933907125353,13719,0,1,0,0.001740689785916295,50.0,20.0,542.4948974664392,308.79560612701835,4320.0,0.0005987847677231071,0.0010496957282979185
fixed,2023Q3,inner,temporal,evaluation,all,123894,32,0,0,0,,32,0,0,123862,0.00020666601094911473,50.0,20.0,,,,0.0005987847677231071,0.0010496957282979185
fixed,2023Q3,inner,temporal,evaluation,ineligible,123862,0,0,0,0,,0,0,0,123862,,,,,,,0.0005987847677231071,0.0010496957282979185
fixed,2023Q3,inner,temporal,evaluation,low,32,32,0,0,0,,32,0,0,0,0.00020666601094911473,50.0,20.0,,,,0.0005987847677231071,0.0010496957282979185
fixed,2023Q3,inner,temporal,evaluation,middle,0,0,0,0,0,,0,0,0,0,,,,,,,0.0005987847677231071,0.0010496957282979185
fixed,2023Q3,inner,temporal,evaluation,high,0,0,0,0,0,,0,0,0,0,,,,,,,0.0005987847677231071,0.0010496957282979185
fixed,2023Q3,inner,0.0005,training,all,80680,68220,65678,18475,47203,0.28129662900819147,2542,0,0,12460,0.0013448542686780092,50.0,20.0,542.8728552097429,299.55869947648415,4320.0,0.0008507340054231317,0.0014555693782364336
fixed,2023Q3,inner,0.0005,training,ineligible,12460,0,0,0,0,,0,0,0,12460,,,,,,,0.0008507340054231317,0.0014555693782364336
fixed,2023Q3,inner,0.0005,training,low,22740,22740,22160,6494,15666,0.2930505415162455,580,0,0,0,0.0005980741446049976,50.0,20.0,632.3042808746535,370.58189600102213,4320.0,0.0008507340054231317,0.0014555693782364336
fixed,2023Q3,inner,0.0005,training,middle,22740,22740,21794,6136,15658,0.2815453794622373,946,0,0,0,0.0011190588555323995,50.0,20.0,561.2439700130378,297.35013737141395,4320.0,0.0008507340054231317,0.0014555693782364336
fixed,2023Q3,inner,0.0005,training,high,22740,22740,21724,5845,15879,0.26905726385564355,1016,0,0,0,0.00231742980589663,50.0,20.0,424.2256629597947,231.70590828924162,4320.0,0.0008507340054231317,0.0014555693782364336
fixed,2023Q3,inner,0.0005,evaluation,all,5690,0,0,0,0,,0,0,0,5690,,,,,,,0.0008507340054231317,0.0014555693782364336
fixed,2023Q3,inner,0.0005,evaluation,ineligible,5690,0,0,0,0,,0,0,0,5690,,,,,,,0.0008507340054231317,0.0014555693782364336
fixed,2023Q3,inner,0.0005,evaluation,low,0,0,0,0,0,,0,0,0,0,,,,,,,0.0008507340054231317,0.0014555693782364336
fixed,2023Q3,inner,0.0005,evaluation,middle,0,0,0,0,0,,0,0,0,0,,,,,,,0.0008507340054231317,0.0014555693782364336
fixed,2023Q3,inner,0.0005,evaluation,high,0,0,0,0,0,,0,0,0,0,,,,,,,0.0008507340054231317,0.0014555693782364336
fixed,2023Q3,inner,0.001,training,all,28326,24182,23310,6534,16776,0.2803088803088803,872,0,0,4144,0.0014223050045982296,50.0,20.0,520.2959902050811,283.5740696564886,4320.0,0.0008956672646796346,0.0015428735188964418
fixed,2023Q3,inner,0.001,training,ineligible,4144,0,0,0,0,,0,0,0,4144,,,,,,,0.0008956672646796346,0.0015428735188964418
fixed,2023Q3,inner,0.001,training,low,8062,8062,7852,2321,5531,0.2955934793683138,210,0,0,0,0.0006332118202040678,50.0,20.0,619.9685480396381,352.52225841476655,4320.0,0.0008956672646796346,0.0015428735188964418
fixed,2023Q3,inner,0.001,training,middle,8060,8060,7737,2133,5604,0.2756882512601784,323,0,0,0,0.001183786478522268,50.0,20.0,544.2409751523676,284.00428265524624,,0.0008956672646796346,0.0015428735188964418
fixed,2023Q3,inner,0.001,training,high,8060,8060,7721,2080,5641,0.26939515606786685,339,0,0,0,0.002450112519828748,50.0,20.0,384.51971153846154,215.5679318907414,4320.0,0.0008956672646796346,0.0015428735188964418
fixed,2023Q3,inner,0.001,evaluation,all,1682,0,0,0,0,,0,0,0,1682,,,,,,,0.0008956672646796346,0.0015428735188964418
fixed,2023Q3,inner,0.001,evaluation,ineligible,1682,0,0,0,0,,0,0,0,1682,,,,,,,0.0008956672646796346,0.0015428735188964418
fixed,2023Q3,inner,0.001,evaluation,low,0,0,0,0,0,,0,0,0,0,,,,,,,0.0008956672646796346,0.0015428735188964418
fixed,2023Q3,inner,0.001,evaluation,middle,0,0,0,0,0,,0,0,0,0,,,,,,,0.0008956672646796346,0.0015428735188964418
fixed,2023Q3,inner,0.001,evaluation,high,0,0,0,0,0,,0,0,0,0,,,,,,,0.0008956672646796346,0.0015428735188964418
fixed,2023Q3,refit,temporal,training,all,1022394,734128,704564,198619,505945,0.2819034182842155,29563,0,1,288266,0.0009866495473991382,50.0,20.0,668.9049889486907,389.2760559145655,4320.0,0.0005987525170978386,0.0010496657727719462
fixed,2023Q3,refit,temporal,training,ineligible,288266,0,0,0,0,,0,0,0,288266,,,,,,,0.0005987525170978386,0.0010496657727719462
fixed,2023Q3,refit,temporal,training,low,244710,244710,238410,68315,170095,0.2865441885826937,6300,0,0,0,0.0004178213295435261,50.0,20.0,780.0406792066165,464.45361656042706,4320.0,0.0005987525170978386,0.0010496657727719462
fixed,2023Q3,refit,temporal,training,middle,244710,244710,235166,68176,166990,0.28990585373736,9544,0,0,0,0.0008014719272277262,50.0,20.0,672.7385003520301,394.16487435860546,4320.0,0.0005987525170978386,0.0010496657727719462
fixed,2023Q3,refit,temporal,training,high,244708,244708,230988,62128,168860,0.26896635323047086,13719,0,1,0,0.0017406615479205478,50.0,20.0,542.4951873551378,308.79366122937324,4320.0,0.0005987525170978386,0.0010496657727719462
fixed,2023Q3,refit,temporal,evaluation,all,159438,89946,78185,19331,58854,0.247246914369764,11761,0,0,69492,0.0006538366643654396,50.0,20.0,963.8464124980601,568.2911347155551,4320.0,0.0005987525170978386,0.0010496657727719462
fixed,2023Q3,refit,temporal,evaluation,ineligible,69492,0,0,0,0,,0,0,0,69492,,,,,,,0.0005987525170978386,0.0010496657727719462
fixed,2023Q3,refit,temporal,evaluation,low,50020,50020,45502,10675,34827,0.23460507230451408,4518,0,0,0,0.0003817645222313822,50.0,20.0,919.1879156908665,609.9743928725392,4320.0,0.0005987525170978386,0.0010496657727719462
fixed,2023Q3,refit,temporal,evaluation,middle,27568,27568,22824,5724,17100,0.250788643533123,4744,0,0,0,0.0007834063813136852,50.0,20.0,1019.601502445842,538.4000234962406,4320.0,0.0005987525170978386,0.0010496657727719462
fixed,2023Q3,refit,temporal,evaluation,high,12358,12358,9859,2932,6927,0.29739324475098894,2499,0,0,0,0.001466028814609517,50.0,20.0,1017.593792633015,432.37332178432223,,0.0005987525170978386,0.0010496657727719462
fixed,2023Q3,refit,0.0005,training,all,86790,68220,65678,18475,47203,0.28129662900819147,2542,0,0,18570,0.0013448542686780092,50.0,20.0,542.8728552097429,299.55869947648415,4320.0,0.0008507340054231317,0.0014555693782364336
fixed,2023Q3,refit,0.0005,training,ineligible,18570,0,0,0,0,,0,0,0,18570,,,,,,,0.0008507340054231317,0.0014555693782364336
fixed,2023Q3,refit,0.0005,training,low,22740,22740,22160,6494,15666,0.2930505415162455,580,0,0,0,0.0005980741446049976,50.0,20.0,632.3042808746535,370.58189600102213,4320.0,0.0008507340054231317,0.0014555693782364336
fixed,2023Q3,refit,0.0005,training,middle,22740,22740,21794,6136,15658,0.2815453794622373,946,0,0,0,0.0011190588555323995,50.0,20.0,561.2439700130378,297.35013737141395,4320.0,0.0008507340054231317,0.0014555693782364336
fixed,2023Q3,refit,0.0005,training,high,22740,22740,21724,5845,15879,0.26905726385564355,1016,0,0,0,0.00231742980589663,50.0,20.0,424.2256629597947,231.70590828924162,4320.0,0.0008507340054231317,0.0014555693782364336
fixed,2023Q3,refit,0.0005,evaluation,all,7704,4692,4085,1069,3016,0.2616891064871481,607,0,0,3012,0.0008699961587588693,50.0,20.0,940.6061739943873,505.60837765957444,4320.0,0.0008507340054231317,0.0014555693782364336
fixed,2023Q3,refit,0.0005,evaluation,ineligible,3012,0,0,0,0,,0,0,0,3012,,,,,,,0.0008507340054231317,0.0014555693782364336
fixed,2023Q3,refit,0.0005,evaluation,low,2822,2822,2549,624,1925,0.2448018830914084,273,0,0,0,0.0005487771545444886,50.0,20.0,934.6714743589744,561.1698801459094,4320.0,0.0008507340054231317,0.0014555693782364336
fixed,2023Q3,refit,0.0005,evaluation,middle,1306,1306,1090,334,756,0.30642201834862387,216,0,0,0,0.0010858739167500628,50.0,20.0,905.0269461077844,404.9442970822281,4320.0,0.0008507340054231317,0.0014555693782364336
fixed,2023Q3,refit,0.0005,evaluation,high,564,564,446,111,335,0.24887892376681614,118,0,0,0,0.0019773431054902224,50.0,20.0,1081.027027027027,413.90149253731346,,0.0008507340054231317,0.0014555693782364336
fixed,2023Q3,refit,0.001,training,all,30138,24182,23310,6534,16776,0.2803088803088803,872,0,0,5956,0.0014223050045982296,50.0,20.0,520.2959902050811,283.5740696564886,4320.0,0.0008956672646796346,0.0015428735188964418
fixed,2023Q3,refit,0.001,training,ineligible,5956,0,0,0,0,,0,0,0,5956,,,,,,,0.0008956672646796346,0.0015428735188964418
fixed,2023Q3,refit,0.001,training,low,8062,8062,7852,2321,5531,0.2955934793683138,210,0,0,0,0.0006332118202040678,50.0,20.0,619.9685480396381,352.52225841476655,4320.0,0.0008956672646796346,0.0015428735188964418
fixed,2023Q3,refit,0.001,training,middle,8060,8060,7737,2133,5604,0.2756882512601784,323,0,0,0,0.001183786478522268,50.0,20.0,544.2409751523676,284.00428265524624,,0.0008956672646796346,0.0015428735188964418
